"archive_path","uncompressed_bytes","compressed_bytes","extension","crc32","review_required","review_reasons"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage3_normal_global.npy","576","282",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage3_normal_local.npy","296","246",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage3_reduce_global.npy","576","280",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage3_reduce_local.npy","296","248",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/final_ops_normal.csv","212","102",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/final_ops_reduce.csv","212","118",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/final_switches_normal.json","273","52",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/final_switches_reduce.json","273","64",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/genotype.json","1153","177",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/genotype.txt","418","147",".txt","","True","generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/run_args.json","1312","536",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/search.log","50695","9623",".log","","True","review_extension:.log;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/stage1_switches_normal.json","923","95",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/stage1_switches_reduce.json","923","111",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/stage1_weights.pt","6814377","5278547",".pt","","True","review_extension:.pt;large_file;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/stage2_switches_normal.json","643","85",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/stage2_switches_reduce.json","643","108",".json","","True","review_extension:.json;generated_or_historical_output"
